Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
【知漫】日本人真的经常加班到很晚，下班还要去喝酒吗？,52269908,36446,126,319,471,429,51,1229,0,38495
（一拳超人）闪光VS饿狼！英雄们被团灭？最后的力量是... 原作解说8,52168008,46341,173,251,366,1205,20,1531,0,38285
【甲铁城剧场版】咲かせや咲かせ【歌词修正版】【幻之字幕组】,52309214,25454,59,188,1340,587,214,1167,0,38105
【科普】女王有多棒！和女王交往之后会发生什么,52106993,54082,119,169,483,140,5,839,0,37851
【FGO小动画】截止至日服目前所有五星拐中，你有多少位呢——从者判定大会,52080112,26995,274,199,1144,1774,48,1878,0,37581
男主校园里各种花式开后宫，这几部校园恋爱后宫番值得一看哦！,52139570,34752,77,98,968,340,14,1115,0,37405
【守望先锋】守望先锋想要变得可爱（手书完整版）（Japanese ver.,52119514,18602,167,296,1431,3323,193,2285,0,36948
【C4D/真实布料MMD】手如柔荑 肤如凝脂——勾指起誓,52151661,8837,29,65,2172,224,13,994,0,36807
忆童年时青梅竹马，两小无猜日夜相随！【经典老歌配上动画】,52132572,36587,251,174,722,864,76,1736,0,36692
周刊哔哩哔哩排行榜#464,52305599,27730,917,225,263,560,27,780,0,36676
【新番快评】一拳及格了吗？ ufotable逃漏税？,52326753,26626,348,330,660,898,34,1797,0,36260
【手书脑洞】当盾勇遇上了贤者之孙,52151256,37544,114,201,617,453,66,1319,0,36038
崩坏沙雕记【某の小剧场】,52107232,30577,127,153,954,804,60,2034,0,35843
jojo1~5部boss/MAD【我们是恶人的救世主】,52079462,26572,60,250,1047,807,51,1516,0,35673
被喷到下架整改，上线后用质量说话，浪子回头金不换的逆袭动画,52056924,316328,901,939,2050,1037,98,5789,0,239128
【麦子】童年经典《哪吒传奇》骚气回顾第一期,52080248,164519,2068,600,2609,6703,231,8446,0,167527
开局为攻，结尾成受，年仅17岁的男主经历了什么？,52150649,127150,348,246,3283,947,54,5839,0,125990
【1080/超燃限制突破】剑来！飞花逐月 万剑归宗 鬼切散华 ！,52093034,95053,157,177,924,302,19,962,0,72130
【2019安迷修生贺手书】飛/燕,52356010,10084,692,405,3385,4055,299,3163,0,54622
抄袭|神作？遗憾|起飞？《星游记》到底是一部怎样的作品？,52200439,46900,599,1447,524,475,31,1643,0,53776
一部因为时长短而被轻视的国漫，其实真的很棒呢！若今昔一别，一别永年！,52191231,41794,84,166,536,150,13,1079,0,35528
【清风】四大名捕第5期 幕后头儿,52177873,23445,540,193,485,1702,27,1646,0,28331
这部神（精病）作已经没人看了？不存在的！举报厚颜无耻沈剑心 以权谋私泡……,52118008,24423,79,216,295,375,20,1442,0,22776
【默读】【仓萌】舟渡cos2——priest系列③,52107891,9413,114,53,857,291,60,736,0,19464
【竹业||王权霸业x东方淮竹】因为，我的意中人，本就是一个盖世英雄//鞘笛相依 天长地久,52186446,12955,78,138,590,431,72,667,0,18906
快乐星猫——此视频致被遗忘的我的童年,52205672,15026,69,295,340,255,16,1017,0,18521
国漫全打一星，恶意差评的背后是道德的沦丧，还是金钱的诱惑？,52336548,11680,273,499,491,1243,45,1617,0,17563
【凹凸世界/雷安手书】花冠,52186259,4190,124,73,973,416,14,841,0,16883
【伪装学渣】 献给各位伪渣女孩,52138293,9082,77,83,661,141,18,599,0,16785
